name
Q96I99	SUCB2 sp|Q96I99|SUCB2_HUMAN
Q9BV44	THUM3 sp|Q9BV44|THUM3_HUMAN
Q96DE5	APC16 sp|Q96DE5|APC16_HUMAN
P54136	SYRC sp|P54136|SYRC_HUMAN
Q9NY33	DPP3 sp|Q9NY33|DPP3_HUMAN
Q9H5Q4	TFB2M sp|Q9H5Q4|TFB2M_HUMAN
Q9NYP7	ELOV5 sp|Q9NYP7|ELOV5_HUMAN
Q9Y5L0	TNPO3 sp|Q9Y5L0|TNPO3_HUMAN
Q06830	PRDX1 sp|Q06830|PRDX1_HUMAN
O00116	ADAS sp|O00116|ADAS_HUMAN
P30520	PURA2 sp|P30520|PURA2_HUMAN
O95067	CCNB2 sp|O95067|CCNB2_HUMAN
Q9NV88	INT9 sp|Q9NV88|INT9_HUMAN
P49585	PCY1A sp|P49585|PCY1A_HUMAN
P49588	SYAC sp|P49588|SYAC_HUMAN
Q9HCC0	MCCB sp|Q9HCC0|MCCB_HUMAN
Q9BRJ7	SDOS sp|Q9BRJ7|SDOS_HUMAN
Q9UNI6	DUS12 sp|Q9UNI6|DUS12_HUMAN
P60842	IF4A1 sp|P60842|IF4A1_HUMAN/sp|Q14240|IF4A2_HUMAN/sp|Q9P2H5|UBP35_HUMAN
Q86UK7	ZN598 sp|Q86UK7|ZN598_HUMAN
P47756	CAPZB sp|P47756|CAPZB_HUMAN
Q9NVN8	GNL3L sp|Q9NVN8|GNL3L_HUMAN
P48507	GSH0 sp|P48507|GSH0_HUMAN
P06733	ENOA sp|P06733|ENOA_HUMAN/sp|P13929|ENOB_HUMAN
P06730	IF4E sp|P06730|IF4E_HUMAN
O14508	SOCS2 sp|O14508|SOCS2_HUMAN
P55084	ECHB sp|P55084|ECHB_HUMAN
P53985	MOT1 sp|P53985|MOT1_HUMAN
P55735	SEC13 sp|P55735|SEC13_HUMAN
Q96GM5	SMRD1 sp|Q96GM5|SMRD1_HUMAN
Q7Z4W1	DCXR sp|Q7Z4W1|DCXR_HUMAN
Q9BRX2	PELO sp|Q9BRX2|PELO_HUMAN
P25398	RS12 sp|P25398|RS12_HUMAN
Q9BRX5	PSF3 sp|Q9BRX5|PSF3_HUMAN
Q96GM8	TOE1 sp|Q96GM8|TOE1_HUMAN
Q96D46	NMD3 sp|Q96D46|NMD3_HUMAN
Q01658	NC2B sp|Q01658|NC2B_HUMAN
Q06546	GABPA sp|Q06546|GABPA_HUMAN
P37198	NUP62 sp|P37198|NUP62_HUMAN
Q69YL0	NCAS2 sp|Q69YL0|NCAS2_HUMAN
Q86WQ0	NR2CA sp|Q86WQ0|NR2CA_HUMAN
Q00266	METK1 sp|Q00266|METK1_HUMAN
P56192	SYMC sp|P56192|SYMC_HUMAN
Q49AR2	CE022 sp|Q49AR2|CE022_HUMAN
P55884	EIF3B sp|P55884|EIF3B_HUMAN
Q9H2G2	SLK sp|Q9H2G2|SLK_HUMAN
P09429	HMGB1 sp|P09429|HMGB1_HUMAN/sp|P26583|HMGB2_HUMAN/sp|B2RPK0|HGB1A_HUMAN
Q9Y2Y6	TMM98 sp|Q9Y2Y6|TMM98_HUMAN
Q9BVP2	GNL3 sp|Q9BVP2|GNL3_HUMAN
Q9Y6C9	MTCH2 sp|Q9Y6C9|MTCH2_HUMAN
P28066	PSA5 sp|P28066|PSA5_HUMAN
P52292	IMA1 sp|P52292|IMA1_HUMAN
P62910	RL32 sp|P62910|RL32_HUMAN
P62913	RL11 sp|P62913|RL11_HUMAN
O76003	GLRX3 sp|O76003|GLRX3_HUMAN
Q15386	UBE3C sp|Q15386|UBE3C_HUMAN
P22314	UBA1 sp|P22314|UBA1_HUMAN
O00429	DNM1L sp|O00429|DNM1L_HUMAN
Q9Y376	CAB39 sp|Q9Y376|CAB39_HUMAN
Q9NTJ5	SAC1 sp|Q9NTJ5|SAC1_HUMAN
P15976	GATA1 sp|P15976|GATA1_HUMAN
Q9NTJ3	SMC4 sp|Q9NTJ3|SMC4_HUMAN
P00491	PNPH sp|P00491|PNPH_HUMAN
P00492	HPRT sp|P00492|HPRT_HUMAN
P35268	RL22 sp|P35268|RL22_HUMAN
Q9Y3E5	PTH2 sp|Q9Y3E5|PTH2_HUMAN
Q9UK39	NOCT sp|Q9UK39|NOCT_HUMAN
Q969E2	SCAM4 sp|Q969E2|SCAM4_HUMAN
Q969E8	TSR2 sp|Q969E8|TSR2_HUMAN
Q9Y570	PPME1 sp|Q9Y570|PPME1_HUMAN
P08397	HEM3 sp|P08397|HEM3_HUMAN
Q3ZCM7	TBB8 sp|Q3ZCM7|TBB8_HUMAN
P08559	ODPA sp|P08559|ODPA_HUMAN
Q5HYK3	COQ5 sp|Q5HYK3|COQ5_HUMAN
P23246	SFPQ sp|P23246|SFPQ_HUMAN
Q7KZF4	SND1 sp|Q7KZF4|SND1_HUMAN
P24752	THIL sp|P24752|THIL_HUMAN
Q86VU5	CMTD1 sp|Q86VU5|CMTD1_HUMAN
Q9UHI6	DDX20 sp|Q9UHI6|DDX20_HUMAN
O96011	PX11B sp|O96011|PX11B_HUMAN
P42126	ECI1 sp|P42126|ECI1_HUMAN
Q99714	HCD2 sp|Q99714|HCD2_HUMAN
Q9NPD3	EXOS4 sp|Q9NPD3|EXOS4_HUMAN
O43264	ZW10 sp|O43264|ZW10_HUMAN
Q04637	IF4G1 sp|Q04637|IF4G1_HUMAN
P52701	MSH6 sp|P52701|MSH6_HUMAN
Q5T9A4	ATD3B sp|Q5T9A4|ATD3B_HUMAN
Q14166	TTL12 sp|Q14166|TTL12_HUMAN
Q53R41	FAKD1 sp|Q53R41|FAKD1_HUMAN
P10809	CH60 sp|P10809|CH60_HUMAN
Q15631	TSN sp|Q15631|TSN_HUMAN
O00267	SPT5H sp|O00267|SPT5H_HUMAN
Q7L3T8	SYPM sp|Q7L3T8|SYPM_HUMAN
Q16543	CDC37 sp|Q16543|CDC37_HUMAN
Q13257	MD2L1 sp|Q13257|MD2L1_HUMAN
P49368	TCPG sp|P49368|TCPG_HUMAN
P32119	PRDX2 sp|P32119|PRDX2_HUMAN
P26196	DDX6 sp|P26196|DDX6_HUMAN
P61077	UB2D3 sp|P61077|UB2D3_HUMAN/sp|P62837|UB2D2_HUMAN
Q8WUD1	RAB2B sp|Q8WUD1|RAB2B_HUMAN
Q96DF8	DGC14 sp|Q96DF8|DGC14_HUMAN
P19784	CSK22 sp|P19784|CSK22_HUMAN
P63167	DYL1 sp|P63167|DYL1_HUMAN
Q9Y5M8	SRPRB sp|Q9Y5M8|SRPRB_HUMAN
Q96FV9	THOC1 sp|Q96FV9|THOC1_HUMAN
Q96BD8	SKA1 sp|Q96BD8|SKA1_HUMAN
P33993	MCM7 sp|P33993|MCM7_HUMAN
P50914	RL14 sp|P50914|RL14_HUMAN
P30536	TSPOA sp|P30536|TSPOA_HUMAN
Q9BW72	HIG2A sp|Q9BW72|HIG2A_HUMAN
Q6IAN0	DRS7B sp|Q6IAN0|DRS7B_HUMAN
P61106	RAB14 sp|P61106|RAB14_HUMAN
Q15418	KS6A1 sp|Q15418|KS6A1_HUMAN/sp|P51812|KS6A3_HUMAN
P49593	PPM1F sp|P49593|PPM1F_HUMAN
P49591	SYSC sp|P49591|SYSC_HUMAN
O14893	GEMI2 sp|O14893|GEMI2_HUMAN
P22830	HEMH sp|P22830|HEMH_HUMAN
P51532	SMCA4 sp|P51532|SMCA4_HUMAN
Q7L1V2	MON1B sp|Q7L1V2|MON1B_HUMAN
Q9UNH7	SNX6 sp|Q9UNH7|SNX6_HUMAN
Q86UL3	GPAT4 sp|Q86UL3|GPAT4_HUMAN/sp|Q53EU6|GPAT3_HUMAN
Q9BS16	CENPK sp|Q9BS16|CENPK_HUMAN
Q14C86	GAPD1 sp|Q14C86|GAPD1_HUMAN
Q9UBX3	DIC sp|Q9UBX3|DIC_HUMAN
O60231	DHX16 sp|O60231|DHX16_HUMAN
Q96D53	ADCK4 sp|Q96D53|ADCK4_HUMAN
P04818	TYSY sp|P04818|TYSY_HUMAN
Q8NC51	PAIRB sp|Q8NC51|PAIRB_HUMAN
P51665	PSMD7 sp|P51665|PSMD7_HUMAN
Q15388	TOM20 sp|Q15388|TOM20_HUMAN
Q9HBL8	NMRL1 sp|Q9HBL8|NMRL1_HUMAN
Q9BW92	SYTM sp|Q9BW92|SYTM_HUMAN
Q12824	SNF5 sp|Q12824|SNF5_HUMAN
P27824	CALX sp|P27824|CALX_HUMAN
Q9Y2X3	NOP58 sp|Q9Y2X3|NOP58_HUMAN
Q9H2H9	S38A1 sp|Q9H2H9|S38A1_HUMAN
Q9Y2X8	UB2D4 sp|Q9Y2X8|UB2D4_HUMAN/sp|P51668|UB2D1_HUMAN/sp|P61077|UB2D3_HUMAN/sp|P62837|UB2D2_HUMAN
P83731	RL24 sp|P83731|RL24_HUMAN
P28074	PSB5 sp|P28074|PSB5_HUMAN
Q7L8W6	DPH6 sp|Q7L8W6|DPH6_HUMAN
Q15154	PCM1 sp|Q15154|PCM1_HUMAN
P17540	KCRS sp|P17540|KCRS_HUMAN/sp|P12532|KCRU_HUMAN/sp|P12277|KCRB_HUMAN
Q00325	MPCP sp|Q00325|MPCP_HUMAN
O00410	IPO5 sp|O00410|IPO5_HUMAN
Q9P2N5	RBM27 sp|Q9P2N5|RBM27_HUMAN
O60568	PLOD3 sp|O60568|PLOD3_HUMAN
Q15390	MTFR1 sp|Q15390|MTFR1_HUMAN
O95319	CELF2 sp|O95319|CELF2_HUMAN
O95861	BPNT1 sp|O95861|BPNT1_HUMAN
Q15398	DLGP5 sp|Q15398|DLGP5_HUMAN
O15269	SPTC1 sp|O15269|SPTC1_HUMAN
O15260	SURF4 sp|O15260|SURF4_HUMAN
Q5XKP0	MIC13 sp|Q5XKP0|MIC13_HUMAN
Q7RTV0	PHF5A sp|Q7RTV0|PHF5A_HUMAN
P53007	TXTP sp|P53007|TXTP_HUMAN
Q9NTK5	OLA1 sp|Q9NTK5|OLA1_HUMAN
P60228	EIF3E sp|P60228|EIF3E_HUMAN
Q8NBN7	RDH13 sp|Q8NBN7|RDH13_HUMAN
P35270	SPRE sp|P35270|SPRE_HUMAN
O95394	AGM1 sp|O95394|AGM1_HUMAN
Q9Y4R8	TELO2 sp|Q9Y4R8|TELO2_HUMAN
Q9BZF1	OSBL8 sp|Q9BZF1|OSBL8_HUMAN
P46109	CRKL sp|P46109|CRKL_HUMAN
Q15084	PDIA6 sp|Q15084|PDIA6_HUMAN
Q99873	ANM1 sp|Q99873|ANM1_HUMAN
Q92621	NU205 sp|Q92621|NU205_HUMAN
Q5J8M3	EMC4 sp|Q5J8M3|EMC4_HUMAN
P09382	LEG1 sp|P09382|LEG1_HUMAN
Q9UH17	ABC3B sp|Q9UH17|ABC3B_HUMAN/sp|P31941|ABC3A_HUMAN
O75934	SPF27 sp|O75934|SPF27_HUMAN
P53396	ACLY sp|P53396|ACLY_HUMAN
Q8WVJ2	NUDC2 sp|Q8WVJ2|NUDC2_HUMAN
Q8WW01	SEN15 sp|Q8WW01|SEN15_HUMAN
P43686	PRS6B sp|P43686|PRS6B_HUMAN
A1L0T0	ILVBL sp|A1L0T0|ILVBL_HUMAN
P49207	RL34 sp|P49207|RL34_HUMAN
Q92530	PSMF1 sp|Q92530|PSMF1_HUMAN
Q96HN2	SAHH3 sp|Q96HN2|SAHH3_HUMAN/sp|O43865|SAHH2_HUMAN
P27105	STOM sp|P27105|STOM_HUMAN
Q70J99	UN13D sp|Q70J99|UN13D_HUMAN
Q6PCB5	RSBNL sp|Q6PCB5|RSBNL_HUMAN
Q02809	PLOD1 sp|Q02809|PLOD1_HUMAN
P36776	LONM sp|P36776|LONM_HUMAN
Q9NZ08	ERAP1 sp|Q9NZ08|ERAP1_HUMAN
P55039	DRG2 sp|P55039|DRG2_HUMAN
Q9H4A5	GLP3L sp|Q9H4A5|GLP3L_HUMAN/sp|Q9H4A6|GOLP3_HUMAN
Q9H4A4	AMPB sp|Q9H4A4|AMPB_HUMAN
P15170	ERF3A sp|P15170|ERF3A_HUMAN
Q9NZ01	TECR sp|Q9NZ01|TECR_HUMAN
P57737	CORO7 sp|P57737|CORO7_HUMAN
O75153	CLU sp|O75153|CLU_HUMAN
Q6NUK1	SCMC1 sp|Q6NUK1|SCMC1_HUMAN
Q9H3R5	CENPH sp|Q9H3R5|CENPH_HUMAN
Q15717	ELAV1 sp|Q15717|ELAV1_HUMAN
Q9BUP3	HTAI2 sp|Q9BUP3|HTAI2_HUMAN
Q8N6M0	OTU6B sp|Q8N6M0|OTU6B_HUMAN
Q9BWD1	THIC sp|Q9BWD1|THIC_HUMAN
Q96DG6	CMBL sp|Q96DG6|CMBL_HUMAN
Q9NY12	GAR1 sp|Q9NY12|GAR1_HUMAN
Q96FW1	OTUB1 sp|Q96FW1|OTUB1_HUMAN
P36578	RL4 sp|P36578|RL4_HUMAN
Q9Y5N6	ORC6 sp|Q9Y5N6|ORC6_HUMAN
Q7Z7H8	RM10 sp|Q7Z7H8|RM10_HUMAN
Q9UJS0	CMC2 sp|Q9UJS0|CMC2_HUMAN
P61289	PSME3 sp|P61289|PSME3_HUMAN
Q9BW61	DDA1 sp|Q9BW61|DDA1_HUMAN
Q9BW60	ELOV1 sp|Q9BW60|ELOV1_HUMAN
Q96PZ0	PUS7 sp|Q96PZ0|PUS7_HUMAN
Q9BQ69	MACD1 sp|Q9BQ69|MACD1_HUMAN
P12004	PCNA sp|P12004|PCNA_HUMAN
Q9BQ67	GRWD1 sp|Q9BQ67|GRWD1_HUMAN
Q14974	IMB1 sp|Q14974|IMB1_HUMAN
